PLAYER,Age,POS,HEIGHT,G,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,RO,RD,RT,AST,PR,PP,ST,FF,FS,+/-,MIN
Carlo Zucca,25,1,182,4,11.25,3.75,7.75,48.39,0.5,0.75,66.67,3.25,7.0,46.43,3.25,4.75,68.42,1.25,6.25,7.5,5.25,1.5,2.5,0.25,2.0,4.75,3.25,30:49
Luca Viscardi,21,5,195,6,9.33,4.17,8.33,50.0,0.0,0.0,,4.17,8.33,50.0,1.0,1.33,75.0,2.0,5.0,7.0,0.67,0.17,1.17,0.5,3.5,1.0,5.33,21:16
Niccolò Favretto,23,2,184,6,7.33,2.83,6.83,41.46,0.0,0.33,0.0,2.83,6.5,43.59,1.67,3.17,52.63,0.67,2.33,3.0,3.0,1.17,2.33,0.33,1.67,2.33,1.67,25:38
Alessandro Arisi,25,5,193,5,7.2,3.0,6.2,48.39,0.0,0.0,,3.0,6.2,48.39,1.2,2.0,60.0,0.6,3.2,3.8,0.2,1.0,1.2,0.0,2.0,1.6,1.6,14:16
Giovanni Valentini,25,3,187,6,6.83,2.5,8.5,29.41,0.33,2.17,15.38,2.17,6.33,34.21,1.5,2.17,69.23,1.0,2.0,3.0,1.83,0.83,1.83,0.0,0.83,2.33,0.83,22:12
Alessandro Contardi,28,3,190,5,5.6,2.6,7.0,37.14,0.0,0.8,0.0,2.6,6.2,41.94,0.4,1.2,33.33,0.4,1.6,2.0,0.2,0.2,1.6,0.2,2.0,1.2,-2.0,15:52
Luigi De Bellis,39,2,183,5,5.2,1.4,6.0,23.33,1.2,4.8,25.0,0.2,1.2,16.67,1.2,1.4,85.71,0.4,1.6,2.0,0.8,0.8,0.8,0.0,1.0,1.0,-5.6,15:51
Ivan Petix,19,4,195,6,4.83,2.0,6.67,30.0,0.17,0.5,33.33,1.83,6.17,29.73,0.67,1.5,44.44,1.17,4.5,5.67,0.33,1.17,0.17,0.83,0.83,2.33,-0.5,17:28
Marco Guerci,22,1,180,6,4.67,1.67,4.17,40.0,0.83,2.0,41.67,0.83,2.17,38.46,0.5,0.67,75.0,0.67,2.33,3.0,2.0,0.83,1.0,0.0,1.33,1.33,2.0,17:42
Riccardo Palumbo,29,4,190,4,4.25,1.5,4.25,35.29,0.0,0.75,0.0,1.5,3.5,42.86,1.25,1.5,83.33,0.25,2.0,2.25,0.25,0.5,1.75,0.5,1.75,0.75,-2.5,12:4
Andrea Pasqualini,32,2,183,5,3.6,1.4,5.0,28.0,0.4,1.4,28.57,1.0,3.6,27.78,0.4,0.4,100.0,0.4,0.6,1.0,1.6,0.8,0.0,0.0,2.0,0.4,6.2,15:10
Giuseppe Saggese,21,5,202,3,1.33,0.67,2.0,33.33,0.0,0.0,,0.67,2.0,33.33,0.0,0.0,,1.0,1.33,2.33,0.0,0.0,0.67,0.0,1.67,0.33,-2.0,8:24
Stefano Zanlucchi,34,4,192,2,1.0,0.0,3.5,0.0,0.0,0.5,0.0,0.0,3.0,0.0,1.0,1.0,100.0,2.0,5.5,7.5,1.0,0.5,2.0,1.0,2.5,2.5,-22.5,22:24
Emanuele Pedriali,19,1,175,5,0.8,0.4,1.0,40.0,0.0,0.2,0.0,0.4,0.8,50.0,0.0,0.0,,0.0,0.2,0.2,1.6,0.4,0.4,0.0,0.8,0.0,-2.8,5:28
Jacopo Filippini,17,2,175,3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0
