PLAYER,Age,POS,HEIGHT,G,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,RO,RD,RT,AST,PR,PP,ST,FF,FS,+/-,MIN
Carlo Zucca,25.0,1.0,182.0,7,8.0,2.86,7.86,36.36,0.43,1.0,42.86,2.43,6.86,35.42,1.86,3.0,61.9,0.71,5.0,5.71,4.14,1.57,2.29,0.14,1.57,3.43,-4.14,27:26
Luca Viscardi,21.0,5.0,195.0,8,7.62,3.38,7.0,48.21,0.0,0.0,,3.38,7.0,48.21,0.88,1.5,58.33,1.75,4.38,6.12,0.5,0.38,1.12,0.38,3.25,1.0,3.38,18:36
Giovanni Valentini,26.0,3.0,187.0,7,6.57,2.43,8.14,29.82,0.29,2.0,14.29,2.14,6.14,34.88,1.43,2.14,66.67,1.14,2.0,3.14,1.71,1.0,1.57,0.0,1.14,2.14,2.14,21:28
Alessandro Arisi,25.0,5.0,193.0,7,6.43,2.71,6.0,45.24,0.0,0.0,,2.71,6.0,45.24,1.0,1.86,53.85,0.71,2.86,3.57,0.14,1.14,1.29,0.0,2.29,1.57,-1.57,13:57
Stefano Zanlucchi,34.0,4.0,192.0,5,6.4,2.6,7.2,36.11,0.0,0.4,0.0,2.6,6.8,38.24,1.2,2.4,50.0,2.2,7.8,10.0,1.2,1.0,1.6,0.8,1.2,2.6,-13.0,24:35
Riccardo Palumbo,30.0,4.0,190.0,7,6.29,2.43,6.0,40.48,0.0,0.43,0.0,2.43,5.57,43.59,1.43,2.57,55.56,1.57,2.71,4.29,0.29,0.71,1.86,0.43,2.29,1.57,-5.71,14:39
Niccolò Favretto,23.0,2.0,184.0,9,5.89,2.22,6.11,36.36,0.0,0.56,0.0,2.22,5.56,40.0,1.44,3.0,48.15,0.67,1.67,2.33,2.78,1.0,2.33,0.33,1.67,2.67,-1.22,24:16
Luigi De Bellis,40.0,2.0,183.0,8,5.88,1.75,7.12,24.56,1.62,6.12,26.53,0.12,1.0,12.5,0.75,0.88,85.71,0.25,1.5,1.75,0.5,1.25,0.88,0.0,1.25,0.75,-5.0,17:3
Marco Guerci,22.0,1.0,180.0,9,5.22,1.78,4.89,36.36,1.22,2.67,45.83,0.56,2.22,25.0,0.44,0.67,66.67,1.0,2.67,3.67,2.44,0.78,1.89,0.0,1.22,1.33,-4.11,19:29
Alessandro Contardi,28.0,3.0,190.0,8,5.0,2.0,5.62,35.56,0.25,0.88,28.57,1.75,4.75,36.84,0.75,1.25,60.0,0.25,1.25,1.5,0.12,0.25,1.38,0.12,1.62,1.0,-4.88,14:3
Ivan Petix,19.0,4.0,195.0,9,4.78,2.0,6.44,31.03,0.11,0.67,16.67,1.89,5.78,32.69,0.67,1.89,35.29,1.44,3.44,4.89,0.33,0.89,0.22,0.56,1.0,2.33,-2.11,15:58
Andrea Pasqualini,32.0,2.0,183.0,8,3.12,1.25,4.75,26.32,0.25,1.38,18.18,1.0,3.38,29.63,0.38,0.62,60.0,0.5,1.0,1.5,1.88,0.62,0.38,0.0,1.62,0.62,0.12,16:28
Giuseppe Saggese,21.0,5.0,202.0,3,1.33,0.67,2.0,33.33,0.0,0.0,,0.67,2.0,33.33,0.0,0.0,,1.0,1.33,2.33,0.0,0.0,0.67,0.0,1.67,0.33,-2.0,8:24
Emanuele Pedriali,19.0,1.0,175.0,8,0.5,0.25,1.0,25.0,0.0,0.25,0.0,0.25,0.75,33.33,0.0,0.0,,0.0,0.12,0.12,1.12,0.5,0.75,0.0,0.88,0.12,-2.0,5:18
Giovanni Calcagno,,,,1,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0
Jacopo Filippini,18.0,2.0,175.0,3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0
