Game,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,RO,RD,RT,AST,PR,PP,ST,FF,FS,OPP_FTM,OPP_FTA,OPP_2PM,OPP_2PA,OPP_3PM,OPP_3PA,OPP_FGM,OPP_FGA,OPP_PTS,OPP_FG%,OPP_FT%,OPP_2P%,OPP_3P%
vs Rozzano,69,24,71,33.8,5,17,29.41,19,54,35.19,16,22,72.73,12,27,39,15,6,13,0,31,21,,,,,,,,,,,,,
@ Tromello,69,28,57,49.12,5,7,71.43,23,50,46.0,8,13,61.54,10,28,38,18,7,13,2,12,13,12,17,11,30,8,25,19,55,58,34.55,70.59,36.67,32.0
vs Tumminelli,61,23,57,40.35,2,5,40.0,21,52,40.38,13,19,68.42,3,29,32,19,6,11,4,14,18,9,17,19,40,4,13,23,53,59,43.4,52.94,47.5,30.77
@ Trezzano,52,19,60,31.67,1,11,9.09,18,49,36.73,13,18,72.22,5,28,33,10,11,21,6,16,17,10,12,22,48,5,27,27,75,69,36.0,83.33,45.83,18.52
@ Aurora,53,22,66,33.33,1,17,5.88,21,49,42.86,8,16,50.0,11,27,38,12,9,14,1,22,20,11,21,16,37,7,21,23,58,64,39.66,52.38,43.24,33.33
vs Voghera,74,30,83,36.14,4,16,25.0,26,67,38.81,10,17,58.82,14,42,56,19,11,10,3,18,16,19,23,17,54,4,23,21,77,65,27.27,82.61,31.48,17.39
@ Garegnano,52,20,69,28.99,6,25,24.0,14,44,31.82,6,16,37.5,13,29,42,17,10,15,1,19,16,11,14,20,46,6,25,26,71,69,36.62,78.57,43.48,24.0
vs Milano3,74,28,73,38.36,8,23,34.78,20,50,40.0,10,26,38.46,15,29,44,15,10,15,0,14,21,13,16,18,37,13,30,31,67,88,46.27,81.25,48.65,43.33
vs Ebro,43,17,63,26.98,2,9,22.22,15,54,27.78,7,16,43.75,10,28,38,8,14,23,3,20,18,11,15,11,40,9,23,20,63,60,31.75,73.33,27.5,39.13
@ Cat Vigevano,79,30,78,38.46,4,17,23.53,26,61,42.62,15,21,71.43,18,19,37,15,14,11,1,20,18,17,21,20,36,5,20,25,56,72,44.64,80.95,55.56,25.0
vs Cava Manara,77,30,70,42.86,9,18,50.0,21,52,40.38,8,11,72.73,9,23,32,21,14,12,1,20,14,12,21,28,48,4,13,32,61,80,52.46,57.14,58.33,30.77
vs Pro Vigevano,65,25,74,33.78,5,19,26.32,20,55,36.36,10,18,55.56,16,22,38,13,11,12,2,22,17,15,21,13,35,10,20,23,55,71,41.82,71.43,37.14,50.0
@ Rozzano,61,20,64,31.25,7,25,28.0,13,39,33.33,14,24,58.33,5,28,33,13,13,12,1,22,18,20,24,19,45,4,22,23,67,70,34.33,83.33,42.22,18.18
vs Tromello,56,20,58,34.48,3,18,16.67,17,40,42.5,13,20,65.0,8,32,40,10,11,22,2,21,16,13,21,15,34,4,27,19,61,55,31.15,61.9,44.12,14.81
vs Trezzano,63,21,55,38.18,5,18,27.78,16,37,43.24,16,26,61.54,6,31,37,14,13,16,2,17,24,9,15,13,39,8,32,21,71,59,29.58,60.0,33.33,25.0
