PLAYER,Age,POS,HEIGHT,G,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,RO,RD,RT,AST,PR,PP,ST,FF,FS,+/-,MIN
Luca Viscardi,21,5,195,6,56.0,25.0,50.0,50.0,0.0,0.0,,25.0,50.0,50.0,6.0,8.0,75.0,12.0,30.0,42.0,4.0,1.0,7.0,3.0,21.0,6.0,32.0,127:36
Carlo Zucca,25,1,182,4,45.0,15.0,31.0,48.39,2.0,3.0,66.67,13.0,28.0,46.43,13.0,19.0,68.42,5.0,25.0,30.0,21.0,6.0,10.0,1.0,8.0,19.0,13.0,123:19
Niccolò Favretto,23,2,184,6,44.0,17.0,41.0,41.46,0.0,2.0,0.0,17.0,39.0,43.59,10.0,19.0,52.63,4.0,14.0,18.0,18.0,7.0,14.0,2.0,10.0,14.0,10.0,153:50
Giovanni Valentini,25,3,187,6,41.0,15.0,51.0,29.41,2.0,13.0,15.38,13.0,38.0,34.21,9.0,13.0,69.23,6.0,12.0,18.0,11.0,5.0,11.0,0.0,5.0,14.0,5.0,133:15
Alessandro Arisi,25,5,193,5,36.0,15.0,31.0,48.39,0.0,0.0,,15.0,31.0,48.39,6.0,10.0,60.0,3.0,16.0,19.0,1.0,5.0,6.0,0.0,10.0,8.0,8.0,71:22
Ivan Petix,19,4,195,6,29.0,12.0,40.0,30.0,1.0,3.0,33.33,11.0,37.0,29.73,4.0,9.0,44.44,7.0,27.0,34.0,2.0,7.0,1.0,5.0,5.0,14.0,-3.0,104:48
Alessandro Contardi,28,3,190,5,28.0,13.0,35.0,37.14,0.0,4.0,0.0,13.0,31.0,41.94,2.0,6.0,33.33,2.0,8.0,10.0,1.0,1.0,8.0,1.0,10.0,6.0,-10.0,79:23
Marco Guerci,22,1,180,6,28.0,10.0,25.0,40.0,5.0,12.0,41.67,5.0,13.0,38.46,3.0,4.0,75.0,4.0,14.0,18.0,12.0,5.0,6.0,0.0,8.0,8.0,12.0,106:17
Luigi De Bellis,39,2,183,5,26.0,7.0,30.0,23.33,6.0,24.0,25.0,1.0,6.0,16.67,6.0,7.0,85.71,2.0,8.0,10.0,4.0,4.0,4.0,0.0,5.0,5.0,-28.0,79:16
Andrea Pasqualini,32,2,183,5,18.0,7.0,25.0,28.0,2.0,7.0,28.57,5.0,18.0,27.78,2.0,2.0,100.0,2.0,3.0,5.0,8.0,4.0,0.0,0.0,10.0,2.0,31.0,75:50
Riccardo Palumbo,29,4,190,4,17.0,6.0,17.0,35.29,0.0,3.0,0.0,6.0,14.0,42.86,5.0,6.0,83.33,1.0,8.0,9.0,1.0,2.0,7.0,2.0,7.0,3.0,-10.0,48:16
Emanuele Pedriali,19,1,175,5,4.0,2.0,5.0,40.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,0.0,,0.0,1.0,1.0,8.0,2.0,2.0,0.0,4.0,0.0,-14.0,27:21
Giuseppe Saggese,21,5,202,3,4.0,2.0,6.0,33.33,0.0,0.0,,2.0,6.0,33.33,0.0,0.0,,3.0,4.0,7.0,0.0,0.0,2.0,0.0,5.0,1.0,-6.0,25:14
Stefano Zanlucchi,34,4,192,2,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,100.0,4.0,11.0,15.0,2.0,1.0,4.0,2.0,5.0,5.0,-45.0,44:48
Jacopo Filippini,17,2,175,3,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0:0
