PLAYER,PTS,FGM,FGA,3PM,3PA,2PM,2PA,FTM,FTA,RO,RD,RT,AST,PP,PR,ST,FF,FS,+/-,FG%,FT%,2P%,3P%,size
Carlo Zucca,11.25,3.75,7.75,0.5,0.75,3.25,7.0,3.25,4.75,1.25,6.25,7.5,5.25,2.5,1.5,0.25,2.0,4.75,3.25,48.39,68.42,46.43,66.67,4
Luca Viscardi,8.6,4.0,7.8,0.0,0.0,4.0,7.8,0.6,0.8,2.0,4.8,6.8,0.8,1.4,0.2,0.4,3.4,0.8,1.8,51.28,75.0,51.28,,5
Alessandro Arisi,8.5,3.5,5.75,0.0,0.0,3.5,5.75,1.5,2.25,0.75,2.75,3.5,0.25,1.25,0.5,0.0,2.25,1.75,1.75,60.87,66.67,60.87,,4
Giovanni Valentini,6.4,2.2,8.0,0.4,2.4,1.8,5.6,1.6,2.2,0.4,1.6,2.0,1.8,2.0,1.0,0.0,1.0,2.4,1.0,27.5,72.73,32.14,16.67,5
Alessandro Contardi,5.6,2.6,7.0,0.0,0.8,2.6,6.2,0.4,1.2,0.4,1.6,2.0,0.2,1.6,0.2,0.2,2.0,1.2,-2.0,37.14,33.33,41.94,0.0,5
Niccolò Favretto,5.6,2.2,6.0,0.0,0.4,2.2,5.6,1.2,2.6,0.4,2.2,2.6,2.0,2.2,1.2,0.0,2.0,2.0,-3.2,36.67,46.15,39.29,0.0,5
Luigi De Bellis,4.5,1.0,5.25,1.0,4.5,0.0,0.75,1.5,1.75,0.5,1.25,1.75,0.5,0.75,0.5,0.0,1.0,1.0,-5.5,19.05,85.71,0.0,22.22,4
Riccardo Palumbo,4.33,1.33,4.67,0.0,0.67,1.33,4.0,1.67,2.0,0.0,2.0,2.0,0.33,1.0,0.67,0.67,1.33,1.0,0.0,28.57,83.33,33.33,0.0,3
Ivan Petix,4.2,1.6,6.0,0.2,0.6,1.4,5.4,0.8,1.4,0.4,3.2,3.6,0.2,0.2,1.2,1.0,0.8,2.4,-2.8,26.67,57.14,25.93,33.33,5
Marco Guerci,3.6,1.2,3.0,0.6,1.4,0.6,1.6,0.6,0.8,0.8,1.8,2.6,1.8,1.2,0.6,0.0,1.0,1.2,-4.8,40.0,75.0,37.5,42.86,5
Andrea Pasqualini,3.5,1.5,4.5,0.5,1.25,1.0,3.25,0.0,0.0,0.5,0.25,0.75,1.5,0.0,1.0,0.0,1.5,0.0,2.0,33.33,,30.77,40.0,4
Giuseppe Saggese,1.33,0.67,2.0,0.0,0.0,0.67,2.0,0.0,0.0,1.0,1.33,2.33,0.0,0.67,0.0,0.0,1.67,0.33,-2.0,33.33,,33.33,,3
Emanuele Pedriali,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.75,0.5,0.0,0.0,0.75,0.0,0.0,100.0,,100.0,,4
Stefano Zanlucchi,1.0,0.0,3.5,0.0,0.5,0.0,3.0,1.0,1.0,2.0,5.5,7.5,1.0,2.0,0.5,1.0,2.5,2.5,-22.5,0.0,100.0,0.0,0.0,2
Jacopo Filippini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2
