PLAYER,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,RO,RD,RT,AST,PR,PP,ST,FF,FS,+/-
Carlo Zucca,45.0,15.0,31.0,48.39,2.0,3.0,66.67,13.0,28.0,46.43,13.0,19.0,68.42,5.0,25.0,30.0,21.0,6.0,10.0,1.0,8.0,19.0,13.0
Luca Viscardi,43.0,20.0,39.0,51.28,0.0,0.0,,20.0,39.0,51.28,3.0,4.0,75.0,10.0,24.0,34.0,4.0,1.0,7.0,2.0,17.0,4.0,9.0
Alessandro Arisi,34.0,14.0,23.0,60.87,0.0,0.0,,14.0,23.0,60.87,6.0,9.0,66.67,3.0,11.0,14.0,1.0,2.0,5.0,0.0,9.0,7.0,7.0
Giovanni Valentini,32.0,11.0,40.0,27.5,2.0,12.0,16.67,9.0,28.0,32.14,8.0,11.0,72.73,2.0,8.0,10.0,9.0,5.0,10.0,0.0,5.0,12.0,5.0
Alessandro Contardi,28.0,13.0,35.0,37.14,0.0,4.0,0.0,13.0,31.0,41.94,2.0,6.0,33.33,2.0,8.0,10.0,1.0,1.0,8.0,1.0,10.0,6.0,-10.0
Niccolò Favretto,28.0,11.0,30.0,36.67,0.0,2.0,0.0,11.0,28.0,39.29,6.0,13.0,46.15,2.0,11.0,13.0,10.0,6.0,11.0,0.0,10.0,10.0,-16.0
Ivan Petix,21.0,8.0,30.0,26.67,1.0,3.0,33.33,7.0,27.0,25.93,4.0,7.0,57.14,2.0,16.0,18.0,1.0,6.0,1.0,5.0,4.0,12.0,-14.0
Luigi De Bellis,18.0,4.0,21.0,19.05,4.0,18.0,22.22,0.0,3.0,0.0,6.0,7.0,85.71,2.0,5.0,7.0,2.0,2.0,3.0,0.0,4.0,4.0,-22.0
Marco Guerci,18.0,6.0,15.0,40.0,3.0,7.0,42.86,3.0,8.0,37.5,3.0,4.0,75.0,4.0,9.0,13.0,9.0,3.0,6.0,0.0,5.0,6.0,-24.0
Andrea Pasqualini,14.0,6.0,18.0,33.33,2.0,5.0,40.0,4.0,13.0,30.77,0.0,0.0,,2.0,1.0,3.0,6.0,4.0,0.0,0.0,6.0,0.0,8.0
Riccardo Palumbo,13.0,4.0,14.0,28.57,0.0,2.0,0.0,4.0,12.0,33.33,5.0,6.0,83.33,0.0,6.0,6.0,1.0,2.0,3.0,2.0,4.0,3.0,0.0
Emanuele Pedriali,4.0,2.0,2.0,100.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,0.0
Giuseppe Saggese,4.0,2.0,6.0,33.33,0.0,0.0,,2.0,6.0,33.33,0.0,0.0,,3.0,4.0,7.0,0.0,0.0,2.0,0.0,5.0,1.0,-6.0
Stefano Zanlucchi,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,100.0,4.0,11.0,15.0,2.0,1.0,4.0,2.0,5.0,5.0,-45.0
Jacopo Filippini,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
